table,domain,path,line
o_ac_offer_to_organisation,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1040
o_ac_method,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1049
o_ac_offer_access,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1062
o_ac_auto_advance_order,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1074
o_ac_billing_address,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1088
o_ac_order,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1110
o_ac_order_part,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1134
o_ac_order_line,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1149
o_ac_transaction,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1166
o_ac_reservation,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1179
o_ac_paypal_transaction,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1193
o_ac_checkout_transaction,订单、付费与访问控制,src/main/resources/database/postgresql/setupDatabase.sql,1225
o_ca_launcher,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1250
o_ca_launcher_to_organisation,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1262
o_ca_filter,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1270
o_stat_lastupdated,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,1283
o_stat_dayofweek,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,1293
o_stat_hourofday,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,1307
o_stat_weekly,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,1321
o_stat_daily,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,1335
o_stat_studylevel,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,1349
o_stat_studybranch3,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,1363
o_mark,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1375
o_om_room_reference,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1388
o_aconnect_meeting,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1403
o_aconnect_user,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1428
o_bbb_template,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1439
o_bbb_server,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1474
o_bbb_meeting,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1488
o_bbb_attendee,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1524
o_bbb_recording,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1536
o_teams_meeting,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1553
o_teams_user,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1585
o_teams_attendee,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,1596
o_as_eff_statement,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1610
o_as_user_course_infos,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1641
