type,name,component,path,has_version_php,has_install_xml,has_access_php,has_services_php,php_files,templates,tests,table_count,tables,capabilities,services
theme,boost,theme_boost,public/theme/boost,True,False,False,False,22,25,32,0,,0,0
theme,classic,theme_classic,public/theme/classic,True,False,False,False,22,9,20,0,,0,0
tinyplugin,accessibilitychecker,tinyplugin_accessibilitychecker,public/lib/editor/tiny/plugins/accessibilitychecker,True,False,True,False,5,1,1,0,,1,0
tinyplugin,aiplacement,tinyplugin_aiplacement,public/lib/editor/tiny/plugins/aiplacement,True,False,False,False,5,12,3,0,,0,0
tinyplugin,autosave,tinyplugin_autosave,public/lib/editor/tiny/plugins/autosave,True,True,True,True,10,0,1,1,tiny_autosave,1,3
tinyplugin,equation,tinyplugin_equation,public/lib/editor/tiny/plugins/equation,True,False,True,True,9,2,2,0,,1,0
tinyplugin,h5p,tinyplugin_h5p,public/lib/editor/tiny/plugins/h5p,True,False,True,False,6,2,2,0,,2,0
tinyplugin,html,tinyplugin_html,public/lib/editor/tiny/plugins/html,True,False,True,False,6,0,2,0,,1,0
tinyplugin,link,tinyplugin_link,public/lib/editor/tiny/plugins/link,True,False,True,False,5,2,1,0,,1,0
tinyplugin,media,tinyplugin_media,public/lib/editor/tiny/plugins/media,True,False,True,True,10,24,3,0,,1,0
tinyplugin,noautolink,tinyplugin_noautolink,public/lib/editor/tiny/plugins/noautolink,True,False,True,False,6,0,1,0,,1,0
tinyplugin,premium,tinyplugin_premium,public/lib/editor/tiny/plugins/premium,True,False,True,True,16,0,3,0,,19,0
tinyplugin,recordrtc,tinyplugin_recordrtc,public/lib/editor/tiny/plugins/recordrtc,True,False,True,False,9,8,1,0,,4,0
tool,admin_presets,tool_admin_presets,public/admin/tool/admin_presets,True,False,False,True,47,7,24,0,,0,0
tool,analytics,tool_analytics,public/admin/tool/analytics,True,False,False,True,28,6,4,0,,0,1
tool,availabilityconditions,tool_availabilityconditions,public/admin/tool/availabilityconditions,True,False,False,False,5,0,1,0,,0,0
tool,behat,tool_behat,public/admin/tool/behat,True,False,False,True,26,1,34,0,,0,0
tool,brickfield,tool_brickfield,public/admin/tool/brickfield,True,True,True,False,212,5,54,10,tool_brickfield_checks;tool_brickfield_process;tool_brickfield_areas;tool_brickfield_content;tool_brickfield_results;tool_brickfield_errors;tool_brickfield_summary;tool_brickfield_cache_check;tool_brickfield_cache_acts;tool_brickfield_schedule,2,0
tool,capability,tool_capability,public/admin/tool/capability,True,False,False,False,12,0,6,0,,0,0
tool,cohortroles,tool_cohortroles,public/admin/tool/cohortroles,True,True,False,False,17,1,2,1,tool_cohortroles,0,0
tool,componentlibrary,tool_componentlibrary,public/admin/tool/componentlibrary,True,False,False,False,16,8,0,0,,0,0
tool,customlang,tool_customlang,public/admin/tool/customlang,True,True,True,False,29,1,11,2,tool_customlang;tool_customlang_components,3,0
tool,dataprivacy,tool_dataprivacy,public/admin/tool/dataprivacy,True,True,True,True,100,22,27,10,tool_dataprivacy_request;tool_dataprivacy_purpose;tool_dataprivacy_category;tool_dataprivacy_ctxinstance;tool_dataprivacy_ctxlevel;tool_dataprivacy_ctxexpired;tool_dataprivacy_purposerole;tool_dataprivacy_contextlist;tool_dataprivacy_ctxlst_ctx;tool_dataprivacy_rqst_ctxlst,8,0
tool,dbtransfer,tool_dbtransfer,public/admin/tool/dbtransfer,True,False,False,False,10,0,0,0,,0,0
tool,filetypes,tool_filetypes,public/admin/tool/filetypes,True,False,False,False,12,0,7,0,,0,0
tool,generator,tool_generator,public/admin/tool/generator,True,False,False,False,30,2,16,0,,0,0
tool,httpsreplace,tool_httpsreplace,public/admin/tool/httpsreplace,True,False,False,False,10,0,2,0,,0,0
tool,installaddon,tool_installaddon,public/admin/tool/installaddon,True,False,False,False,18,2,6,0,,0,0
tool,langimport,tool_langimport,public/admin/tool/langimport,True,False,False,False,20,1,5,0,,0,0
tool,licensemanager,tool_licensemanager,public/admin/tool/licensemanager,True,False,False,False,12,0,5,0,,0,0
tool,log,tool_log,public/admin/tool/log,True,False,False,False,54,0,11,0,,0,0
tool,lp,tool_lp,public/admin/tool/lp,True,False,False,True,77,41,15,0,,0,17
tool,lpimportcsv,tool_lpimportcsv,public/admin/tool/lpimportcsv,True,False,False,False,12,0,2,0,,0,0
tool,lpmigrate,tool_lpmigrate,public/admin/tool/lpmigrate,True,False,True,False,12,1,1,0,,1,0
tool,messageinbound,tool_messageinbound,public/admin/tool/messageinbound,True,False,False,False,24,0,3,0,,0,0
tool,mfa,tool_mfa,public/admin/tool/mfa,True,True,True,False,146,5,21,3,tool_mfa;tool_mfa_secrets;tool_mfa_auth,2,0
tool,mobile,tool_mobile,public/admin/tool/mobile,True,False,False,True,29,5,4,0,,0,8
tool,monitor,tool_monitor,public/admin/tool/monitor,True,True,True,False,45,0,15,4,tool_monitor_rules;tool_monitor_subscriptions;tool_monitor_history;tool_monitor_events,3,0
tool,multilangupgrade,tool_multilangupgrade,public/admin/tool/multilangupgrade,True,False,False,False,5,0,0,0,,0,0
tool,oauth2,tool_oauth2,public/admin/tool/oauth2,True,False,False,False,11,0,3,0,,0,0
tool,phpunit,tool_phpunit,public/admin/tool/phpunit,True,False,False,False,7,0,0,0,,0,0
tool,policy,tool_policy,public/admin/tool/policy,True,True,True,True,50,9,9,3,tool_policy;tool_policy_versions;tool_policy_acceptances,4,0
tool,profiling,tool_profiling,public/admin/tool/profiling,True,False,False,False,8,0,0,0,,0,0
tool,recyclebin,tool_recyclebin,public/admin/tool/recyclebin,True,True,True,False,23,0,5,2,tool_recyclebin_course;tool_recyclebin_category,3,0
