table,domain,path,line
lti_int_provider_obj,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,12797
media_item,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,13151
media_item_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,13181
mob_data,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,13317
mob_parameter,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,13332
mob_usage,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,13348
sahs_lm,仓库、课程与学习资源,components/ILIAS/Scorm2004/data/mysql_schema.sql,123
sahs_sc13_sco,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,19981
sahs_sc13_seq_assign,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,19996
sahs_sc13_seq_cond,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20011
sahs_sc13_seq_course,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20029
sahs_sc13_seq_item,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20046
sahs_sc13_seq_mapinfo,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20069
sahs_sc13_seq_node,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20089
sahs_sc13_seq_node_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20107
sahs_sc13_seq_obj,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20121
sahs_sc13_seq_rule,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20140
sahs_sc13_seq_templ,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20160
sahs_sc13_seq_templts,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20176
sahs_sc13_seq_templts_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20196
sahs_sc13_seq_tree,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20211
sahs_sc13_tree,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20233
sahs_sc13_tree_node,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20255
sahs_sc13_tree_node_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20278
sahs_user,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,20293
webr_items,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,25201
webr_items_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,25225
webr_lists,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,25239
webr_params,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,25257
webr_params_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,25276
acc_access_key,其他,components/ILIAS/setup_/sql/ilias3.sql,12
acc_cache,其他,components/ILIAS/setup_/sql/ilias3.sql,28
acc_criterion_to_doc,其他,components/ILIAS/setup_/sql/ilias3.sql,44
acc_criterion_to_doc_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,65
acc_documents,其他,components/ILIAS/setup_/sql/ilias3.sql,79
acc_documents_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,100
acc_user_access_key,其他,components/ILIAS/setup_/sql/ilias3.sql,114
acl_ws,其他,components/ILIAS/setup_/sql/ilias3.sql,130
addressbook_mlist,其他,components/ILIAS/setup_/sql/ilias3.sql,147
addressbook_mlist_ass,其他,components/ILIAS/setup_/sql/ilias3.sql,168
addressbook_mlist_ass_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,186
addressbook_mlist_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,200
adl_shared_data,其他,components/ILIAS/setup_/sql/ilias3.sql,214
aicc_course,其他,components/ILIAS/setup_/sql/ilias3.sql,697
aicc_object,其他,components/ILIAS/setup_/sql/ilias3.sql,725
aicc_object_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,746
aicc_units,其他,components/ILIAS/setup_/sql/ilias3.sql,760
aicc_units_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,785
badge_badge,其他,components/ILIAS/setup_/sql/ilias3.sql,890
badge_badge_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,914
badge_image_templ_type,其他,components/ILIAS/setup_/sql/ilias3.sql,928
badge_image_template,其他,components/ILIAS/setup_/sql/ilias3.sql,943
badge_image_template_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,960
badge_user_badge,其他,components/ILIAS/setup_/sql/ilias3.sql,974
benchmark,其他,components/ILIAS/setup_/sql/ilias3.sql,992
benchmark_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,1012
buddylist,其他,components/ILIAS/setup_/sql/ilias3.sql,1405
buddylist_requests,其他,components/ILIAS/setup_/sql/ilias3.sql,1421
cmi_comment,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,2
cmi_comment_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,2024
cmi_correct_response,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,7
cmi_correct_response_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,2055
cmi_custom,其他,components/ILIAS/setup_/sql/ilias3.sql,2069
cmi_gobjective,其他,components/ILIAS/setup_/sql/ilias3.sql,2088
cmi_interaction,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,12
cmi_interaction_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,2139
cmi_node,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,19
cmi_node_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,2214
cmi_objective,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,30
cmi_objective_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,2256
cmix_del_object,其他,components/ILIAS/setup_/sql/ilias3.sql,2270
cmix_del_user,其他,components/ILIAS/setup_/sql/ilias3.sql,2288
cmix_lrs_types,其他,components/ILIAS/setup_/sql/ilias3.sql,2305
cmix_lrs_types_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,2348
cmix_results,其他,components/ILIAS/setup_/sql/ilias3.sql,2362
cmix_results_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,2383
cmix_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,2397
cmix_token,其他,components/ILIAS/setup_/sql/ilias3.sql,2458
cmix_users,其他,components/ILIAS/setup_/sql/ilias3.sql,2482
conditions,其他,components/ILIAS/setup_/sql/ilias3.sql,2503
conditions_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,2531
cont_filter_field,其他,components/ILIAS/setup_/sql/ilias3.sql,2545
cont_member_skills,其他,components/ILIAS/setup_/sql/ilias3.sql,2560
cont_skills,其他,components/ILIAS/setup_/sql/ilias3.sql,2579
container_reference,其他,components/ILIAS/setup_/sql/ilias3.sql,2595
container_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,2612
container_sorting,其他,components/ILIAS/setup_/sql/ilias3.sql,2628
container_sorting_bl,其他,components/ILIAS/setup_/sql/ilias3.sql,2646
container_sorting_set,其他,components/ILIAS/setup_/sql/ilias3.sql,2661
copg_multilang,其他,components/ILIAS/setup_/sql/ilias3.sql,2756
copg_multilang_lang,其他,components/ILIAS/setup_/sql/ilias3.sql,2772
copg_pc_def,其他,components/ILIAS/setup_/sql/ilias3.sql,2788
copg_pobj_def,其他,components/ILIAS/setup_/sql/ilias3.sql,2850
copg_section_timings,其他,components/ILIAS/setup_/sql/ilias3.sql,2893
copy_wizard_options,其他,components/ILIAS/setup_/sql/ilias3.sql,2909
cp_auxilaryResource,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,39
cp_auxilaryresource,其他,components/ILIAS/setup_/sql/ilias3.sql,2925
cp_condition,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,42
cp_datamap,其他,components/ILIAS/setup_/sql/ilias3.sql,2959
cp_dependency,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,45
cp_file,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,52
cp_hideLMSUI,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,57
cp_hidelmsui,其他,components/ILIAS/setup_/sql/ilias3.sql,3009
cp_item,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,62
cp_manifest,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,69
cp_mapinfo,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,74
cp_node,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,79
cp_node_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,3111
cp_objective,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,84
cp_organization,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,87
cp_package,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,94
cp_resource,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,99
cp_rule,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,104
cp_sequencing,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,107
cp_suspend,其他,components/ILIAS/setup_/sql/ilias3.sql,3276
cp_tree,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,112
data_cache,其他,components/ILIAS/setup_/sql/ilias3.sql,3960
dav_lock,其他,components/ILIAS/setup_/sql/ilias3.sql,3976
dav_property,其他,components/ILIAS/setup_/sql/ilias3.sql,4002
dbk_translations,其他,components/ILIAS/setup_/sql/ilias3.sql,4021
desktop_item,其他,components/ILIAS/setup_/sql/ilias3.sql,4036
didactic_tpl_a,其他,components/ILIAS/setup_/sql/ilias3.sql,4053
didactic_tpl_a_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4071
didactic_tpl_abr,其他,components/ILIAS/setup_/sql/ilias3.sql,4086
didactic_tpl_alp,其他,components/ILIAS/setup_/sql/ilias3.sql,4101
didactic_tpl_alr,其他,components/ILIAS/setup_/sql/ilias3.sql,4120
didactic_tpl_en,其他,components/ILIAS/setup_/sql/ilias3.sql,4135
didactic_tpl_fp,其他,components/ILIAS/setup_/sql/ilias3.sql,4150
didactic_tpl_fp_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4171
didactic_tpl_objs,其他,components/ILIAS/setup_/sql/ilias3.sql,4186
didactic_tpl_sa,其他,components/ILIAS/setup_/sql/ilias3.sql,4202
didactic_tpl_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,4219
didactic_tpl_settings_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4243
ecs_cmap_rule,其他,components/ILIAS/setup_/sql/ilias3.sql,4258
ecs_cmap_rule_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4281
ecs_cms_data,其他,components/ILIAS/setup_/sql/ilias3.sql,4295
ecs_cms_data_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4317
ecs_cms_tree,其他,components/ILIAS/setup_/sql/ilias3.sql,4331
ecs_community,其他,components/ILIAS/setup_/sql/ilias3.sql,4350
ecs_container_mapping,其他,components/ILIAS/setup_/sql/ilias3.sql,4368
ecs_container_mapping_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4388
ecs_course_assignments,其他,components/ILIAS/setup_/sql/ilias3.sql,4402
ecs_course_assignments_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4424
ecs_crs_mapping_atts,其他,components/ILIAS/setup_/sql/ilias3.sql,4438
ecs_crs_mapping_atts_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4455
ecs_data_mapping,其他,components/ILIAS/setup_/sql/ilias3.sql,4469
ecs_events,其他,components/ILIAS/setup_/sql/ilias3.sql,4486
ecs_events_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4504
ecs_export,其他,components/ILIAS/setup_/sql/ilias3.sql,4518
ecs_import,其他,components/ILIAS/setup_/sql/ilias3.sql,4534
ecs_node_mapping_a,其他,components/ILIAS/setup_/sql/ilias3.sql,4556
ecs_part_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,4578
ecs_remote_user,其他,components/ILIAS/setup_/sql/ilias3.sql,4606
ecs_remote_user_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4624
ecs_server,其他,components/ILIAS/setup_/sql/ilias3.sql,4638
ecs_server_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4671
ecs_user_consent,其他,components/ILIAS/setup_/sql/ilias3.sql,4685
etal_data,其他,components/ILIAS/setup_/sql/ilias3.sql,4701
etal_serie,其他,components/ILIAS/setup_/sql/ilias3.sql,4726
event,其他,components/ILIAS/setup_/sql/ilias3.sql,4741
event_appointment,其他,components/ILIAS/setup_/sql/ilias3.sql,4777
event_appointment_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4798
event_items,其他,components/ILIAS/setup_/sql/ilias3.sql,4812
event_participants,其他,components/ILIAS/setup_/sql/ilias3.sql,4828
event_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,4850
export_file_info,其他,components/ILIAS/setup_/sql/ilias3.sql,5337
export_files,其他,components/ILIAS/setup_/sql/ilias3.sql,5358
export_files_html,其他,components/ILIAS/setup_/sql/ilias3.sql,5375
export_options,其他,components/ILIAS/setup_/sql/ilias3.sql,5392
export_public_access,其他,components/ILIAS/setup_/sql/ilias3.sql,5411
feedback_items_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,5428
gs_footer_items,其他,components/ILIAS/setup_/sql/ilias3.sql,6119
gs_item_translation,其他,components/ILIAS/setup_/sql/ilias3.sql,6147
help_map,其他,components/ILIAS/setup_/sql/ilias3.sql,6164
help_module,其他,components/ILIAS/setup_/sql/ilias3.sql,6185
help_module_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,6202
help_tooltip,其他,components/ILIAS/setup_/sql/ilias3.sql,6216
help_tooltip_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,6236
history,其他,components/ILIAS/setup_/sql/ilias3.sql,6250
history_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,6272
iass_info_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,6286
iass_members,其他,components/ILIAS/setup_/sql/ilias3.sql,6305
iass_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,6333
int_link,其他,components/ILIAS/setup_/sql/ilias3.sql,11391
item_group_item,其他,components/ILIAS/setup_/sql/ilias3.sql,11412
itgr_data,其他,components/ILIAS/setup_/sql/ilias3.sql,11427
last_visited,其他,components/ILIAS/setup_/sql/ilias3.sql,11445
ldap_attribute_mapping,其他,components/ILIAS/setup_/sql/ilias3.sql,11464
ldap_rg_mapping,其他,components/ILIAS/setup_/sql/ilias3.sql,11482
ldap_rg_mapping_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,11504
ldap_role_assignments,其他,components/ILIAS/setup_/sql/ilias3.sql,11518
ldap_role_assignments_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,11543
ldap_server_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,11557
ldap_server_settings_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,11604
ldoc_acceptance_track,其他,components/ILIAS/setup_/sql/ilias3.sql,11618
ldoc_acceptance_track_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,11636
ldoc_criteria,其他,components/ILIAS/setup_/sql/ilias3.sql,11650
ldoc_criteria_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,11671
ldoc_documents,其他,components/ILIAS/setup_/sql/ilias3.sql,11685
ldoc_documents_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,11709
ldoc_versions,其他,components/ILIAS/setup_/sql/ilias3.sql,11723
ldoc_versions_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,11745
like_data,其他,components/ILIAS/setup_/sql/ilias3.sql,11759
link_check,其他,components/ILIAS/setup_/sql/ilias3.sql,11781
link_check_report,其他,components/ILIAS/setup_/sql/ilias3.sql,11802
link_check_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,11817
lng_data,其他,components/ILIAS/Scorm2004/data/mysql_schema.sql,127
lng_log,其他,components/ILIAS/setup_/sql/ilias3.sql,12007
lng_modules,其他,components/ILIAS/setup_/sql/ilias3.sql,12022
lo_access,其他,components/ILIAS/setup_/sql/ilias3.sql,12038
loc_rnd_qpl,其他,components/ILIAS/setup_/sql/ilias3.sql,12056
loc_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,12075
loc_tst_assignments,其他,components/ILIAS/setup_/sql/ilias3.sql,12102
loc_tst_assignments_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,12120
loc_tst_run,其他,components/ILIAS/setup_/sql/ilias3.sql,12134
loc_user_results,其他,components/ILIAS/setup_/sql/ilias3.sql,12153
lso_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,12283
lso_states,其他,components/ILIAS/setup_/sql/ilias3.sql,12302
manscoring_done,其他,components/ILIAS/setup_/sql/ilias3.sql,13110
map_area,其他,components/ILIAS/setup_/sql/ilias3.sql,13125
member_agreement,其他,components/ILIAS/setup_/sql/ilias3.sql,13195
member_noti,其他,components/ILIAS/setup_/sql/ilias3.sql,13212
member_noti_user,其他,components/ILIAS/setup_/sql/ilias3.sql,13227
mep_data,其他,components/ILIAS/setup_/sql/ilias3.sql,13243
mep_item,其他,components/ILIAS/setup_/sql/ilias3.sql,13260
mep_item_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,13280
mep_tree,其他,components/ILIAS/setup_/sql/ilias3.sql,13295
notification,其他,components/ILIAS/setup_/sql/ilias3.sql,13428
notification_channels,其他,components/ILIAS/setup_/sql/ilias3.sql,13447
notification_data,其他,components/ILIAS/setup_/sql/ilias3.sql,13468
notification_data_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,13483
notification_listener,其他,components/ILIAS/setup_/sql/ilias3.sql,13497
notification_osd,其他,components/ILIAS/setup_/sql/ilias3.sql,13514
notification_osd_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,13536
notification_queue,其他,components/ILIAS/setup_/sql/ilias3.sql,13550
notification_types,其他,components/ILIAS/setup_/sql/ilias3.sql,13566
notification_usercfg,其他,components/ILIAS/setup_/sql/ilias3.sql,13590
obj_content_master_lng,其他,components/ILIAS/setup_/sql/ilias3.sql,13613
obj_lp_stat,其他,components/ILIAS/setup_/sql/ilias3.sql,13629
obj_members,其他,components/ILIAS/setup_/sql/ilias3.sql,13653
obj_noti_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,13678
obj_stat,其他,components/ILIAS/setup_/sql/ilias3.sql,13693
obj_stat_log,其他,components/ILIAS/setup_/sql/ilias3.sql,13716
obj_stat_log_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,13742
obj_stat_tmp,其他,components/ILIAS/setup_/sql/ilias3.sql,13756
obj_type_stat,其他,components/ILIAS/setup_/sql/ilias3.sql,13782
obj_user_data_hist,其他,components/ILIAS/setup_/sql/ilias3.sql,13803
obj_user_stat,其他,components/ILIAS/setup_/sql/ilias3.sql,13820
openid_provider,其他,components/ILIAS/setup_/sql/ilias3.sql,14331
openid_provider_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,14350
orgu_data,其他,components/ILIAS/setup_/sql/ilias3.sql,14365
orgu_obj_pos_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,14380
orgu_obj_type_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,14395
orgu_path_storage,其他,components/ILIAS/setup_/sql/ilias3.sql,14412
orgu_types,其他,components/ILIAS/setup_/sql/ilias3.sql,14428
orgu_types_adv_md_rec,其他,components/ILIAS/setup_/sql/ilias3.sql,14447
orgu_types_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,14462
orgu_types_trans,其他,components/ILIAS/setup_/sql/ilias3.sql,14476
osc_activity,其他,components/ILIAS/setup_/sql/ilias3.sql,14493
osc_conversation,其他,components/ILIAS/setup_/sql/ilias3.sql,14510
osc_messages,其他,components/ILIAS/setup_/sql/ilias3.sql,14526
personal_clipboard,其他,components/ILIAS/setup_/sql/ilias3.sql,14797
personal_pc_clipboard,其他,components/ILIAS/setup_/sql/ilias3.sql,14818
pg_amd_page_list,其他,components/ILIAS/setup_/sql/ilias3.sql,14836
pg_amd_page_list_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,14853
post_conditions,其他,components/ILIAS/setup_/sql/ilias3.sql,14867
preview_data,其他,components/ILIAS/setup_/sql/ilias3.sql,14883
prg_auto_content,其他,components/ILIAS/setup_/sql/ilias3.sql,14899
prg_auto_membership,其他,components/ILIAS/setup_/sql/ilias3.sql,14916
prg_settings,其他,components/ILIAS/setup_/sql/ilias3.sql,14936
prg_settings_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,14966
prg_translations,其他,components/ILIAS/setup_/sql/ilias3.sql,14980
prg_translations_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,14998
prg_type,其他,components/ILIAS/setup_/sql/ilias3.sql,15012
prg_type_adv_md_rec,其他,components/ILIAS/setup_/sql/ilias3.sql,15031
prg_type_adv_md_rec_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,15047
prg_type_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,15061
prg_usr_assignments,其他,components/ILIAS/setup_/sql/ilias3.sql,15075
prg_usr_assignments_seq,其他,components/ILIAS/setup_/sql/ilias3.sql,15097
prg_usr_progress,其他,components/ILIAS/setup_/sql/ilias3.sql,15111
