kind,name,package,path,table
entity,TopicStatus,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/TopicStatus.java,CONV_TOPIC_STATUS
entity,Tag,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/Tag.java,CONV_TAGS
entity,PostReaction,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/PostReaction.java,CONV_POST_REACTIONS
entity,PostStatus,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/PostStatus.java,CONV_POST_STATUS
entity,ConversationsComment,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/ConversationsComment.java,CONV_COMMENTS
entity,PostReactionTotal,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/PostReactionTotal.java,CONV_POST_REACTION_TOTALS
entity,Settings,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/Settings.java,CONV_SETTINGS
entity,UserStatistics,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/UserStatistics.java,CONV_USER_STATISTICS
entity,TopicReactionTotal,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/TopicReactionTotal.java,CONV_TOPIC_REACTION_TOTALS
entity,TopicReaction,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/TopicReaction.java,CONV_TOPIC_REACTIONS
entity,ConversationsPost,org.sakaiproject.conversations.api.model,conversations/api/src/main/java/org/sakaiproject/conversations/api/model/ConversationsPost.java,CONV_POSTS
entity,LTIEntityProvider,org.sakaiproject.lti.entityprovider,lti/lti-blis/src/java/org/sakaiproject/lti/entityprovider/LTIEntityProvider.java,
entity,GoogleDriveUser,org.sakaiproject.googledrive.model,cloud-storage/googledrive/api/src/java/org/sakaiproject/googledrive/model/GoogleDriveUser.java,GOOGLEDRIVE_USER
entity,TopicEntityProviderImpl,org.sakaiproject.component.app.messageforums.entity,msgcntr/messageforums-component-impl/src/java/org/sakaiproject/component/app/messageforums/entity/TopicEntityProviderImpl.java,
entity,ForumMessageEntityProviderImpl,org.sakaiproject.component.app.messageforums.entity,msgcntr/messageforums-component-impl/src/java/org/sakaiproject/component/app/messageforums/entity/ForumMessageEntityProviderImpl.java,
entity,ForumsEntityProviderImpl,org.sakaiproject.tool.messageforums.entityproviders,msgcntr/messageforums-app/src/java/org/sakaiproject/tool/messageforums/entityproviders/ForumsEntityProviderImpl.java,
entity,DraftRecipient,org.sakaiproject.api.app.messageforums,msgcntr/messageforums-api/src/java/org/sakaiproject/api/app/messageforums/DraftRecipient.java,MFR_DRAFT_RECIPIENT_T
entity,ShortenedUrlServiceEntityProviderImpl,org.sakaiproject.shortenedurl.entityprovider,shortenedurl/impl/src/java/org/sakaiproject/shortenedurl/entityprovider/ShortenedUrlServiceEntityProviderImpl.java,
entity,Evaluation,org.sakaiproject.rubrics.api.model,rubrics/api/src/main/java/org/sakaiproject/rubrics/api/model/Evaluation.java,rbc_evaluation
entity,ReturnedEvaluation,org.sakaiproject.rubrics.api.model,rubrics/api/src/main/java/org/sakaiproject/rubrics/api/model/ReturnedEvaluation.java,rbc_returned_evaluation
