table,domain,path,line,source
QRTZ_TRIGGER_LISTENERS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,88,sql
SAKAI_CLUSTER,其他工具表,kernel/kernel-impl/src/main/sql/oracle/sakai_cluster.sql,5,sql
SAKAI_CONFIG_ITEM,其他工具表,kernel/kernel-impl/src/main/sql/oracle/sakai_config_item.sql,5,sql
SAKAI_DIGEST,其他工具表,kernel/kernel-impl/src/main/sql/oracle/sakai_digest.sql,5,sql
SAKAI_HELP_CATEGORY,其他工具表,help/help-component/src/sql/oracle/sakai_help.sql,6,sql
SAKAI_HELP_CATEGORY_T,其他工具表,help/help-component-shared/src/java/org/sakaiproject/component/app/help/model/CategoryBean.hbm.xml,5,hbm
SAKAI_HELP_RESOURCE,其他工具表,help/help-component/src/sql/oracle/sakai_help.sql,11,sql
SAKAI_HELP_RESOURCE_T,其他工具表,help/help-component-shared/src/java/org/sakaiproject/component/app/help/model/ResourceBean.hbm.xml,5,hbm
SAKAI_LOCKS,其他工具表,kernel/kernel-impl/src/main/sql/oracle/sakai_locks.sql,5,sql
SAKAI_NOTIFICATION,其他工具表,kernel/kernel-impl/src/main/sql/oracle/sakai_notification.sql,5,sql
SAKAI_POSTEM_GRADEBOOK,其他工具表,postem/postem-hbm/src/java/org/sakaiproject/component/app/postem/data/GradebookImpl.hbm.xml,4,hbm
SAKAI_POSTEM_STUDENT,其他工具表,postem/postem-hbm/src/java/org/sakaiproject/component/app/postem/data/StudentGradesImpl.hbm.xml,4,hbm
SAKAI_PREFERENCES,其他工具表,kernel/kernel-impl/src/main/sql/oracle/sakai_preferences.sql,5,sql
SAKAI_PRESENCE,其他工具表,presence/presence-impl/impl/src/sql/oracle/sakai_presence.sql,5,sql
SAKAI_PRIVACY_RECORD,其他工具表,common/privacy-hbm/src/java/org/sakaiproject/hbm/sql/schema-export-oracle.sql,3,sql
SCHEDULER_DELAYED_INVOCATION,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/delayed.sql,5,sql
SCORM_ACTIVITY_TREE_HOLDER_T,其他工具表,scormplayer/scorm-api/src/java/org/sakaiproject/scorm/model/api/ActivityTreeHolder.hbm.xml,6,hbm
SCORM_ADL_AUX_RESOURCE_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,155,hbm
SCORM_ADL_DURATION_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,143,hbm
SCORM_ADL_ROLLUP_RULESET_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,191,hbm
SCORM_ADL_ROLLUP_RULE_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,171,hbm
SCORM_ADL_SEQ_ACTIVITY_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,335,hbm
SCORM_ADL_SEQ_ACTIVITY_TREE_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,533,hbm
SCORM_ADL_SEQ_CONDITION_SET_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,104,hbm
SCORM_ADL_SEQ_CONDITION_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,72,hbm
SCORM_ADL_SEQ_OBJECTIVE_MAP_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,215,hbm
SCORM_ADL_SEQ_OBJECTIVE_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,279,hbm
SCORM_ADL_SEQ_OBJ_TRACKING_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,235,hbm
SCORM_ADL_SEQ_RULESET_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,127,hbm
SCORM_ADL_SEQ_RULE_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,90,hbm
SCORM_ADL_TRACKING,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,306,hbm
SCORM_ADL_VALID_REQUESTS_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/sequencer/SequencerMappings.hbm.xml,38,hbm
SCORM_ATTEMPT_T,其他工具表,scormplayer/scorm-api/src/java/org/sakaiproject/scorm/model/api/Attempt.hbm.xml,6,hbm
SCORM_CMI_FIELD_GROUP_T,其他工具表,scormplayer/scorm-api/src/java/org/sakaiproject/scorm/model/api/CMIFieldGroup.hbm.xml,6,hbm
SCORM_CMI_FIELD_T,其他工具表,scormplayer/scorm-api/src/java/org/sakaiproject/scorm/model/api/CMIField.hbm.xml,6,hbm
SCORM_CONTENT_PACKAGE_T,其他工具表,scormplayer/scorm-api/src/java/org/sakaiproject/scorm/model/api/ContentPackage.hbm.xml,6,hbm
SCORM_CP_MANIFEST_T,其他工具表,scormplayer/scorm-api/src/java/org/sakaiproject/scorm/model/api/ContentPackageManifest.hbm.xml,6,hbm
SCORM_DATAMANAGER_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/SCODataManager.hbm.xml,6,hbm
SCORM_DATAMODEL_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/DataModel.hbm.xml,6,hbm
SCORM_DELIMITER_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/DMDelimiter.hbm.xml,6,hbm
SCORM_DELIMIT_DESC_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/DMDelimiterDescriptor.hbm.xml,6,hbm
SCORM_ELEMENT_DESC_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/DMElementDescriptor.hbm.xml,6,hbm
SCORM_ELEMENT_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/DMElement.hbm.xml,6,hbm
SCORM_LAUNCH_DATA_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/validator/contentpackage/LaunchData.hbm.xml,7,hbm
SCORM_PROCESSING_INFO_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/DMProcessingInfo.hbm.xml,6,hbm
SCORM_TYPE_VALIDATOR_T,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/DMTypeValidator.hbm.xml,7,hbm
SCORM_URL,其他工具表,scormplayer/scorm-api/src/java/org/adl/datamodels/DataModel.hbm.xml,87,hbm
SSQ_ANSWER,其他工具表,site-manage/site-manage-hbm/src/java/org/sakaiproject/sitemanage/impl/SiteSetupQuestionAnswer.hbm.xml,5,hbm
SSQ_QUESTION,其他工具表,site-manage/site-manage-hbm/src/java/org/sakaiproject/sitemanage/impl/SiteSetupQuestion.hbm.xml,6,hbm
SSQ_SITETYPE_QUESTIONS,其他工具表,site-manage/site-manage-hbm/src/java/org/sakaiproject/sitemanage/impl/SiteTypeQuestions.hbm.xml,5,hbm
SSQ_USER_ANSWER,其他工具表,site-manage/site-manage-hbm/src/java/org/sakaiproject/sitemanage/impl/SiteSetupUserAnswer.hbm.xml,5,hbm
TAGGABLE_LINK,其他工具表,taggable/taggable-hbm/hbm/src/java/org/sakaiproject/taggable/impl/LinkImpl.hbm.xml,7,hbm
TMP_DIGITS,其他工具表,msgcntr/messageforums-hbm/src/sql/oracle/SAK-29036.sql,9,sql
TMP_SEQUENCE,其他工具表,msgcntr/messageforums-hbm/src/sql/oracle/SAK-29036.sql,22,sql
URL_RANDOMISED_MAPPINGS_T,其他工具表,shortenedurl/docs/database/oracle/shortenedurl-ddl-1.0.0-oracle.sql,2,sql
pasystem_banner_alert,其他工具表,pasystem/pasystem-impl/impl/src/resources/db/migration/mysql.sql,36,sql
pasystem_banner_dismissed,其他工具表,pasystem/pasystem-impl/impl/src/resources/db/migration/mysql.sql,48,sql
pasystem_popup_assign,其他工具表,pasystem/pasystem-impl/impl/src/resources/db/migration/mysql.sql,17,sql
pasystem_popup_content,其他工具表,pasystem/pasystem-impl/impl/src/resources/db/migration/mysql.sql,11,sql
pasystem_popup_dismissed,其他工具表,pasystem/pasystem-impl/impl/src/resources/db/migration/mysql.sql,24,sql
pasystem_popup_screens,其他工具表,pasystem/pasystem-impl/impl/src/resources/db/migration/mysql.sql,1,sql
qrtz_blob_triggers,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,76,sql
qrtz_calendars,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,94,sql
qrtz_cron_triggers,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,66,sql
qrtz_fired_triggers,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,105,sql
qrtz_job_details,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,11,sql
qrtz_job_listeners,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,24,sql
